IGN (Case Sensitive) ,Peak Rank? (Season 12),What is your primary role?
Kyrogeniz,P1,Support
jobey,P1,Jungle
matg,P1,Top
King Civil,D3,ADC
gl4cial,P2,ADC
Âzîr,D3,Mid
Fwi Fwi,P1,Mid
Skifter,P1,Mid
The Orion,P2,Support
Stunna,P1,Jungle
Owl In A Hoodie,D3,Support
Heimerdoodles,D4,Jungle
Crisp Ten,D3,ADC
UBC Sauder,P1,Top
Hivar,G2,ADC
Manì,D3,ADC
Ðemo,P1,Mid
Oreo Murderer,P1,Support
Ratchet,D3,Mid
best buy support ,P2,Support
N9TF poupou,P4,Mid
aiioops,P1,Support
Audiofizz,D3,Top
Shane23,P2,Top
Tricecross,P1,Mid
Queen Thomas,P1,Mid
Crucıfıx,P4,ADC
hard to love,D2,ADC
0 to 60 enjoyer,D4,ADC
Payneless,D4,Jungle
pp gaoshou,P1,Jungle
King Mike,P1,Top
DrPhil and Chill,P2,Mid
dirt212,P3,ADC
L9 SKOOTIN,P1,Jungle
Bweez,P3,ADC
XFW Hammy,D3,Support
Watercat,P2,Mid
Ulvaric,D3*,ADC
Huskytemplar,P2,ADC
Thatan,P3,Jungle
lcynicl,P2,Support
tlights,P1,Support
Confounder,P1,ADC
DannyPhantom352,D3,Jungle
Kicks for Kids,D3,Jungle
Karinoo,D3,ADC
masoof,P2,Top
Tuff Daddy,P2,Mid
Inferno92,D4,ADC
Zanazerge,P2,ADC
beloved roses,D4,ADC
puffles mia,D2,Mid
Captfil,P4,Top
TauPiPhi,D2,Support
Ðelilah,D3,Jungle
DoG OGCush,P3,Mid
McDoctor,P2,
allenen,P2,Support
WRESTLE ME NAKED,P2,Jungle
jasoncript5,P2,ADC
DragonMoonCake,D4,Support
hunterwolfsteel5,D4,Jungle
Is Reality Real,D3,Support
DoG Hazem,D2,Top
Mr Drex,D2,Jungle
The Rak,D4,Top
Sutekh,P1,Jungle
Rapidfire,D2,ADC
Nøt Important,P3,Jungle
º 6,P2,
helper08,D3,Support
Roguę,D3,Jungle
Old Santa Zilean,D3,Mid
Dholy,P1,Support
uknowthekid,P2,Support
Café,D4,Jungle
Daedream,D2,ADC
Fishing in Bot,P1,
Federer,P3,ADC
kibaboy,P3,Mid
HolyCarrot,D2,Mid
NuFFies,P1,Mid
Taíase,P1,Top
café jr,P2,Jungle
top dream,P1,Top
U RONG ME RITE,P3,Mid
Haman Karn,P2,Jungle
Kinori,P2,Top
Im a jhincel,D2,ADC
DoG Martial,D3,Top
xviinteen,P1,Support
BBBennett,P2,Top
Zeha,D2,ADC
shimuwu,D2,Mid
epicfailguy456,P1,ADC
CuteCaféDaPig,P4,Jungle
Hoshiumi,D4,Support
DoG loveme,P2,Support
Noobily,P1,Jungle
donkey kongee,D2,Mid
New IGN Wanted,P3,Support
KingWhatsItsFace,D3,Mid
Yung Natz ,P3,Mid
fireflanz,D2,Top
Cigafiy,D2,Support
BlackVelvet Rose,D2,Jungle
,,Jungle
