Player IGN,Rank, Primary Role,Elo
shimuwu,D2,Mid,1150.7
helper08,D3,Support,1150.6
The Orion,P2,Support,1150.3
HolyCarrot,D2,Mid,1100.7
Payneless,D4,Jungle,1100.5
BBBennett,P2,Top,1100.3
Captfil,P4,Top,1100.1
BlackVelvet Rose,D2,Jungle,1050.7
Cigafiy,D2,Support,1050.7
Daedream,D2,ADC,1050.7
puffles mia,D2,Mid,1050.7
Rapidfire,D2,ADC,1050.7
Âzîr,D3,Mid,1050.6
DannyPhantom352,D3,Jungle,1050.6
DoG Martial,D3,Top,1050.6
King Civil,D3,ADC,1050.6
Manì,D3,ADC,1050.6
beloved roses,D4,ADC,1050.5
Heimerdoodles,D4,Jungle,1050.5
Dholy,P1,Support,1050.4
xviinteen,P1,Support,1050.4
gl4cial,P2,ADC,1050.3
Huskytemplar,P2,ADC,1050.3
masoof,P2,Top,1050.3
Tuff Daddy,P2,Mid,1050.3
Thatan,P3,Jungle,1050.2
CuteCaféDaPig,P4,Jungle,1050.1
DoG Hazem,D2,Top,1000.7
fireflanz,D2,Top,1000.7
hard to love,D2,ADC,1000.7
TauPiPhi,D2,Support,1000.7
Is Reality Real,D3,Support,1000.6
Kicks for Kids,D3,Jungle,1000.6
KingWhatsItsFace,D3,Mid,1000.6
Old Santa Zilean,D3,Mid,1000.6
Owl In A Hoodie,D3,Support,1000.6
Ratchet,D3,Mid,1000.6
Roguę,D3,Jungle,1000.6
TFPhage,D3,Mid,1000.6
Ulvaric,D3*,ADC,1000.6
0 to 60 enjoyer,D4,ADC,1000.5
Café,D4,Jungle,1000.5
DragonMoonCake,D4,Support,1000.5
Big Fella Gabe,P1,Mid,1000.4
Confounder,P1,ADC,1000.4
Ðemo,P1,Mid,1000.4
epicfailguy456,P1,ADC,1000.4
Fishing in Bot,P1,Support,1000.4
Fwi Fwi,P1,Mid,1000.4
King Mike,P1,Top,1000.4
Kyrogeniz,P1,Support,1000.4
L9 SKOOTIN,P1,Jungle,1000.4
nicklolz,P1,Top,1000.4
Noobily,P1,Jungle,1000.4
NuFFies,P1,Mid,1000.4
Oreo Murderer,P1,Support,1000.4
pp gaoshou,P1,Jungle,1000.4
Stunna,P1,Jungle,1000.4
Sutekh,P1,Jungle,1000.4
Taíase,P1,Top,1000.4
tlights,P1,Support,1000.4
top dream,P1,Top,1000.4
UBC Sauder,P1,Top,1000.4
allenen,P2,Support,1000.3
best buy support ,P2,Support,1000.3
Haman Karn,P2,Jungle,1000.3
jasoncript5,P2,ADC,1000.3
Kinori,P2,Top,1000.3
lcynicl,P2,Support,1000.3
McDoctor,P2,Jungle,1000.3
º 6,P2,Mid,1000.3
Watercat,P2,Mid,1000.3
WRESTLE ME NAKED,P2,Jungle,1000.3
Zanazerge,P2,ADC,1000.3
Bweez,P3,ADC,1000.2
dirt212,P3,ADC,1000.2
DoG OGCush,P3,Mid,1000.2
Federer,P3,ADC,1000.2
kibaboy,P3,Mid,1000.2
New IGN Wanted,P3,Support,1000.2
Nøt Important,P3,Jungle,1000.2
U RONG ME RITE,P3,Mid,1000.2
Yung Natz ,P3,Mid,1000.2
Crucıfıx,P4,ADC,1000.1
N9TF poupou,P4,Mid,1000.1
smokeyya,P4,Jungle,1000.1
Hivar,G2,ADC,1000
donkey kongee,D2,Mid,950.7
Im a jhincel,D2,ADC,950.7
Mr Drex,D2,Jungle,950.7
Zeha,D2,ADC,950.7
Crisp Ten,D3,ADC,950.6
Ðelilah,D3,Jungle,950.6
XFW Hammy,D3,Support,950.6
Hoshiumi,D4,Support,950.5
hunterwolfsteel5,D4,Jungle,950.5
Inferno92,D4,ADC,950.5
The Rak,D4,Top,950.5
matg,P1,Top,950.4
Queen Thomas,P1,Mid,950.4
DoG loveme,P2,Support,950.3
DrPhil and Chill,P2,Mid,950.3
Shane23,P2,Top,950.3
aiioops,P1,Support,900.4
jobey,P1,Jungle,900.4
Skifter,P1,Mid,900.4
Tricecross,P1,Mid,900.4
café jr,P2,Jungle,900.3
uknowthekid,P2,Support,900.3
Karinoo,D3,ADC,850.6
Audiofizz,D3,Top,800.6
